year,RNP,vessel_registration_number,species_permit,fishing_gear_number,fishing_gear_type_en
2016,305006306,NA,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2017,305006777,0303060413-6,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2016,305003162,14025451135,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2017,305007098,0303121013-9,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2017,305007361,0202109113-6,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2017,305006371,NA,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2015,305006819,14026417131,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2017,305007098,0302389413-9,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2017,305006793,25012986138,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2015,305005878,2501A370136,ESCAMA MARINA,400,HOOK AND LINES / ROD AND REEL
2015,305007288,12010645133,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2015,305003113,NA,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2017,305006371,2502672613-1,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2017,305007320,0303156313-5,ESCAMA MARINA,300,HOOK AND LINES / ROD AND REEL
2017,305006769,30036413130,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2017,305000713,0303053213-8,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2015,305006371,20031507136,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2015,305006306,2014566135,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2015,305006371,20031503137,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2016,305006546,NA,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2017,305005878,3002878513-8,ESCAMA MARINA,400,HOOK AND LINES / ROD AND REEL
2015,305006579,1201030913-3,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2015,305006371,NA,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2015,305006769,2603037413-1,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2014,305006546,NA,ESCAMA,200,HOOK AND LINES / ROD AND REEL
2015,305005878,3103022513-7,ESCAMA MARINA,400,HOOK AND LINES / ROD AND REEL
2017,305000713,3102222413-5,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2015,305006371,2802069313-6,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2016,305006306,3102122113-9,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2017,305005795,2603281013-4,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2015,305000713,30032191135,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2015,305008195,0701162313-3,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2015,305007692,NA,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
2014,305002929,0303058913-1,ESCAMA MARINA,200,HOOK AND LINES / ROD AND REEL
2017,305006371,3102111913-5,ESCAMA MARINA,100,HOOK AND LINES / ROD AND REEL
